"계정항목별",2013.1/4,2013.2/4,2013.3/4,2013.4/4,2014.1/4,2014.2/4,2014.3/4,2014.4/4,2015.1/4,2015.2/4,2015.3/4,2015.4/4,2016.1/4,2016.2/4,2016.3/4,2016.4/4,2017.1/4,2017.2/4,2017.3/4,2017.4/4,2018.1/4,2018.2/4,2018.3/4,2018.4/4,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4
"코크스 및 석유정제품 제조업",3785.3,3090.6,3144.3,3368.7,3682.1,3352.8,3428.0,3615.7,3920.9,3488.1,3377.0,3525.9,4130.5,3923.6,3735.7,3785.0,4050.9,3701.7,3833.9,3957.5,3770.0,3740.6,3517.6,3639.1,3577.6,3442.2,3303.7,3474.9,3448.6,2891.0,2806.7,2956.1,2976.7,3104.3,3004.3,3068.5,2995.6,3071.1,3323.9,3021.8
"화학물질 및 화학제품 제조업",15700.1,17090.3,17137.1,17034.0,16012.6,17333.7,17409.9,17356.0,17038.9,17889.4,18164.7,17873.1,16536.6,18129.6,18386.8,18264.1,17076.8,18494.2,19338.5,18807.0,17564.0,19256.0,19433.9,19311.3,17978.6,18820.7,19040.4,19031.5,17996.8,17619.2,19484.4,19558.3,19405.8,19855.8,20151.6,19466.1,19542.2,19632.9,19083.1,17716.6
"비금속광물제품 제조업",2572.5,3140.1,2915.1,3172.3,2469.7,3058.1,3048.6,3210.7,2538.7,3216.0,3226.6,3395.4,2658.7,3324.1,3289.4,3636.5,3187.9,3631.5,3617.4,3810.8,3071.9,3595.7,3539.6,3983.1,2953.1,3388.4,3419.5,3741.9,2824.3,2973.7,3317.2,3818.1,2990.6,3320.4,3607.1,3925.3,3074.4,3321.6,3471.2,3526.7
"1차금속 제조업",6151.4,6591.8,6389.2,6127.8,6255.6,6836.6,6751.3,6734.6,6400.9,6955.5,6781.1,6701.1,6393.8,6989.6,6897.2,6871.3,6647.1,7076.9,7191.0,7017.1,6403.8,6720.5,6683.8,7072.2,6414.4,6633.9,6636.0,6959.4,6430.6,6055.3,6436.6,6832.9,6550.1,6950.7,7023.2,6683.1,6458.4,6669.8,6477.3,6052.7
"금속가공제품 제조업",7570.0,6762.4,7789.9,9515.8,8242.6,7421.8,8409.9,9549.1,8718.1,7962.5,9053.6,10601.9,9014.2,8109.5,8784.4,10395.3,9499.6,7363.0,8831.2,10484.2,8731.6,7175.4,8456.2,11335.1,8782.4,7268.4,8180.2,10835.9,8746.4,6333.2,7690.1,10082.3,8406.4,6658.6,7332.9,9318.6,7757.2,6093.2,7036.2,9549.5
"컴퓨터, 전자 및 광학기기 제조업",22201.3,24352.4,22740.3,25734.6,24440.1,26156.4,23318.7,26310.4,24113.8,25137.7,24440.5,28180.6,26078.2,28238.2,27525.3,30495.2,26310.0,28788.8,30327.2,32281.0,28239.9,32174.0,35778.8,34897.4,28767.1,33841.4,38666.3,38167.6,32476.2,33985.1,39333.7,40870.3,35401.4,41096.4,43517.8,45595.7,39748.5,46878.3,47246.1,44791.4
"전기장비 제조업",6602.9,7140.0,6926.5,6382.3,6884.6,7353.1,6929.1,6718.0,6750.6,7056.8,6679.8,6034.8,6442.0,6474.2,6347.4,6357.0,6942.4,7010.9,7118.9,6970.8,7193.7,7397.8,7377.3,7825.0,7290.7,7768.9,7451.5,7759.8,7194.9,7181.9,7519.6,8140.5,7673.5,8212.3,7924.5,8401.7,8107.3,8099.4,7806.0,7928.2
"기계 및 장비 제조업",8186.2,9577.5,9481.4,9557.8,8371.9,9607.0,9635.5,9824.6,8686.5,9606.4,9526.4,9222.1,7856.8,8792.1,9028.1,9734.6,9819.8,11476.5,11207.6,10890.6,10452.4,11056.4,11278.1,10918.8,10197.3,10613.7,10889.9,11610.6,10588.4,10398.3,11307.0,11431.8,11258.5,12135.5,12907.4,12303.3,11461.3,11779.4,13220.0,12916.5
"운송장비 제조업",12948.0,14044.4,13271.2,14273.0,13098.5,14583.1,13003.0,13538.4,12221.0,14324.8,13320.4,14424.9,12833.2,14940.5,13065.7,14327.5,12315.5,13447.1,12374.2,12539.4,11170.2,12960.1,11512.0,13885.6,11652.8,13339.4,11696.1,13784.9,11294.6,10727.1,10975.2,12387.1,11728.1,12483.2,10967.3,12670.9,11750.9,13160.9,13034.9,14324.2
"기타 제조업 및 산업용 장비 수리업",1824.4,2043.8,2002.4,2329.5,2096.6,2248.5,2155.3,2386.0,2306.3,2471.1,2348.7,2643.0,2455.5,2535.2,2221.6,2715.6,2663.9,2710.4,2286.8,2807.8,2688.3,2859.0,2490.1,2932.2,2587.9,2511.0,2177.3,2691.2,2516.2,2472.3,2116.6,2548.7,2614.8,2499.5,2071.1,2567.7,2531.8,2541.4,2070.0,2472.3
"전기, 가스 및 수도사업",10846.1,9796.1,8795.1,10073.0,10902.2,10075.3,9180.6,10352.6,11327.8,10220.2,9742.7,10469.7,11403.3,10010.0,9557.6,10291.6,11807.1,10864.2,10284.2,10858.4,11482.5,10729.7,9986.0,10884.4,12345.0,12053.5,9675.1,10854.0,13090.2,11859.0,10283.0,11529.9,13685.7,12337.6,10839.7,11747.4,13923.3,12665.7,10999.3,11941.4
"전기업",5935.7,5250.5,5658.3,4654.5,6195.5,5701.0,5926.3,5499.0,6896.0,6266.9,6588.1,6165.7,6959.0,6129.9,6380.2,5863.8,7153.0,6878.8,6980.4,6307.7,6723.9,6625.1,6852.3,6293.6,8045.7,8173.2,6530.6,5946.4,8867.5,8217.3,7569.1,6607.0,9435.8,8106.2,7778.9,6649.9,10016.9,8807.6,8757.2,6631.8
"가스, 증기 및 공기조절 공급업",2686.5,2127.9,1547.3,2536.2,2432.6,1924.1,1434.8,2174.8,2253.8,1336.6,1114.1,1762.3,2292.0,1255.3,1172.6,1993.7,2664.7,1449.0,1321.8,2363.5,2807.3,1559.8,1287.9,2130.8,2707.4,1625.4,1314.8,2173.4,2696.0,1469.7,1254.5,2260.0,2805.0,1710.9,1421.9,2464.6,2891.6,1715.7,1384.9,2489.1
"수도, 하수 및 폐기물 처리, 원료 재생업",2152.1,2271.8,1853.9,2427.0,2234.2,2385.2,1946.0,2523.7,2171.5,2608.3,2081.2,2515.9,2152.4,2624.8,2004.8,2434.1,2132.6,2477.2,1922.5,2298.4,2070.8,2459.8,1926.9,2399.8,2022.3,2424.4,1955.1,2473.5,2110.3,2386.6,1874.8,2483.8,2121.9,2591.6,1983.5,2539.6,2111.4,2504.7,1874.4,2436.3
"건설업",14006.6,20090.1,19372.6,21824.8,14323.9,20308.4,19727.5,22055.2,14798.2,21091.5,21233.6,24050.9,16304.9,23371.3,23207.4,26256.4,18198.5,25214.6,24242.0,26713.3,18412.4,25063.1,22839.9,25425.5,17004.1,24403.8,22196.0,25761.7,17468.3,24264.5,21597.6,24862.2,16791.3,23277.3,21134.0,24699.1,16378.5,23127.6,21472.6,25140.6
"건물건설업",8503.1,11445.5,11070.1,11576.9,8936.3,12045.9,11705.1,11903.9,9237.2,12416.8,12972.5,13978.9,10976.5,15081.8,15164.7,16333.8,12917.0,16957.7,16787.2,17378.4,13137.7,17035.1,15868.4,16698.0,12115.4,15885.3,14895.2,15776.1,11748.9,15223.7,14473.2,15450.8,11543.8,15199.4,14834.5,16158.2,11696.0,15585.4,15509.2,16934.5
"주거용 건물건설업",3839.0,4850.1,4634.9,5019.3,4382.5,5479.2,4962.3,5155.9,4641.8,5841.1,6034.3,6826.3,6001.7,7894.7,7675.9,8518.9,7406.9,8982.3,8607.8,9129.3,7573.6,9212.1,8740.4,8794.7,6703.0,8155.5,7502.5,7676.2,6124.6,7579.7,7469.6,7804.0,6010.8,7498.6,7632.8,8474.4,6157.0,7956.0,7957.4,8608.8
"비주거용 건물건설업",4662.8,6589.4,6428.6,6553.0,4555.4,6564.6,6736.9,6743.1,4597.1,6574.7,6936.7,7153.5,4974.8,7187.1,7488.7,7814.9,5507.8,7974.9,8180.0,8248.9,5559.5,7821.4,7125.4,7903.4,5410.4,7730.9,7394.4,8103.4,5624.6,7646.3,7004.4,7648.5,5533.0,7703.8,7202.4,7683.5,5538.2,7630.6,7552.7,8327.4
"토목건설업",2402.1,3949.6,3555.4,4657.3,2394.9,3887.8,3418.5,4811.4,2678.7,4345.8,3604.7,4393.0,2623.8,4038.5,3343.8,4071.2,2457.6,4052.7,3010.1,3638.7,2222.3,3496.6,2624.7,3669.4,2029.9,3636.3,2836.4,4260.3,2429.7,3858.4,2786.7,3999.2,2146.2,3383.2,2417.7,3654.4,1981.6,3336.7,2450.0,3791.6
"전문건설업",3104.1,4682.8,4734.9,5557.9,3000.4,4373.3,4600.6,5313.3,2890.4,4327.6,4659.7,5668.8,2704.6,4251.0,4698.9,5851.4,2825.0,4204.7,4446.0,5696.6,3052.9,4532.3,4346.6,5058.7,2860.1,4881.2,4463.8,5722.0,3289.5,5180.7,4337.0,5410.2,3099.8,4693.4,3879.4,4885.3,2713.8,4204.5,3533.8,4413.4
"서비스업",210843.0,215276.0,215591.6,225097.2,218527.5,221552.1,222145.3,231815.7,224576.8,227543.1,229681.8,239668.1,231508.1,235702.7,236625.7,244582.6,236938.6,241016.5,243131.7,252019.6,247175.8,250339.1,251411.5,261496.3,254594.1,258999.5,259626.7,271333.2,256474.2,255734.3,257033.9,266926.5,260501.2,267116.7,266964.0,280799.8,271287.1,278714.8,279246.6,290902.8
"도소매 및 숙박음식업",36746.3,38618.3,37910.2,40345.5,37635.3,39226.1,38067.4,40222.5,38405.4,40145.2,39252.4,42542.6,39481.9,41587.6,40309.3,43325.7,39447.4,42154.2,41642.6,44502.3,40731.3,43011.2,42551.1,46249.5,42824.7,44351.7,43800.9,47632.3,41318.4,41709.8,41299.1,44342.1,41156.6,43541.1,42235.4,47408.9,43610.9,46238.0,46198.9,50154.3
"도소매업",28385.1,29691.8,28970.5,30996.9,29138.0,30249.9,28811.7,30723.6,29712.8,31076.7,29942.7,32701.1,30484.4,31948.5,30386.9,33312.2,30562.7,32554.8,31699.2,34561.2,31501.9,33081.2,32351.8,35685.0,33281.2,34078.8,33361.9,36530.3,33343.3,32990.4,32749.8,36354.0,34330.5,34789.9,33892.9,37866.2,35635.9,35736.0,35360.3,39316.9
"숙박 및 음식점업",8327.5,8922.4,8975.5,9349.5,8463.9,8959.5,9322.3,9526.6,8679.8,9053.5,9333.3,9845.6,8997.6,9639.1,9922.4,10013.5,8892.8,9605.6,9939.0,9952.1,9238.2,9931.5,10185.1,10570.9,9568.6,10272.8,10419.2,11097.3,8159.4,8828.0,8666.6,8251.8,7151.1,8903.5,8508.5,9706.8,8223.4,10525.6,10821.6,10927.8
"운수업",13889.8,13981.2,14145.1,14429.5,13693.9,13966.0,14449.7,15025.5,13810.3,14268.3,15076.3,15344.6,14046.0,14641.6,15057.7,14968.4,14201.7,14749.7,15405.4,15932.2,14445.2,15465.6,16002.6,16608.3,14941.5,15686.1,16224.5,16722.0,13354.6,12469.1,13370.0,13353.6,12601.2,13871.7,14065.2,14771.8,13306.5,15212.3,15469.1,16400.2
"금융 및 보험업",19340.3,19292.0,19315.3,19344.8,20094.6,20419.9,20693.3,20869.3,21759.3,22155.2,22503.9,21839.4,22522.8,22277.5,22527.7,22620.0,23213.7,23618.8,23719.3,23157.3,24917.4,24878.2,24986.8,24217.2,25391.8,25819.5,25701.7,25446.8,27372.1,28108.4,28476.9,28187.3,30029.5,29509.7,30261.1,29843.3,31363.9,30500.0,30415.8,30280.8
"부동산업",27930.6,28936.4,29128.6,29172.1,29103.0,30183.0,30556.4,30353.2,29652.1,30616.8,31036.9,30892.0,30737.5,31807.2,32271.4,31645.0,31919.9,32431.1,32816.5,32139.7,33162.7,33624.4,33565.6,33069.9,33387.6,34042.3,34069.0,33810.4,34087.8,34970.1,35030.5,34286.8,34432.3,35438.6,35168.8,34453.9,34592.6,35352.0,35124.5,34420.6
