"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 08- 02","55,400","55,300","56,100","54,700","291.25K","0.91%"
"2022- 08- 01","54,900","55,700","55,700","54,700","234.48K","-1.08%"
"2022- 07- 29","55,500","55,700","56,300","55,000","263.95K","0.18%"
"2022- 07- 28","55,400","55,800","56,300","54,600","289.17K","0.36%"
"2022- 07- 27","55,200","56,000","56,500","54,200","304.65K","-1.43%"
"2022- 07- 26","56,000","57,800","57,800","55,200","462.03K","-1.93%"
"2022- 07- 25","57,100","55,700","57,700","55,000","363.27K","2.51%"
"2022- 07- 24","55,700","55,700","55,700","55,700","","0.00%"
"2022- 07- 22","55,700","56,500","57,700","55,600","267.77K","-1.42%"
"2022- 07- 21","56,500","56,700","57,000","56,000","187.68K","0.00%"
"2022- 07- 20","56,500","56,300","57,700","55,900","398.25K","1.25%"
"2022- 07- 19","55,800","55,100","56,300","54,400","309.41K","1.27%"
"2022- 07- 18","55,100","55,600","55,700","53,000","356.63K","0.00%"
"2022- 07- 15","55,100","55,800","56,400","54,600","373.99K","-0.36%"
"2022- 07- 14","55,300","54,800","55,900","54,100","465.39K","0.91%"
"2022- 07- 13","54,800","52,900","55,000","52,600","507.23K","4.58%"
"2022- 07- 12","52,400","53,100","53,900","52,100","345.54K","-2.06%"
"2022- 07- 11","53,500","53,900","55,100","52,900","398.66K","0.19%"
"2022- 07- 10","53,400","53,400","53,400","53,400","","0.00%"
"2022- 07- 08","53,400","53,400","54,200","53,000","382.27K","1.52%"
"2022- 07- 07","52,600","52,700","53,600","52,100","391.81K","1.35%"
"2022- 07- 06","51,900","50,800","54,400","50,000","1.03M","3.39%"
"2022- 07- 05","50,200","49,750","51,100","49,400","419.29K","1.31%"
"2022- 07- 04","49,550","48,350","51,000","47,950","555.00K","3.23%"
"2022- 07- 01","48,000","48,900","49,550","47,900","317.58K","-0.52%"
"2022- 06- 30","48,250","49,200","49,750","48,050","320.71K","-1.93%"
"2022- 06- 29","49,200","49,500","49,850","48,300","376.59K","-2.77%"
"2022- 06- 28","50,600","52,100","52,200","50,100","207.97K","-2.88%"
"2022- 06- 27","52,100","52,300","53,500","50,900","398.76K","0.58%"
"2022- 06- 24","51,800","48,600","51,900","48,000","680.43K","9.17%"
"2022- 06- 23","47,450","48,900","50,700","47,400","681.05K","-3.16%"
"2022- 06- 22","49,000","53,700","54,600","48,900","1.31M","-8.75%"
"2022- 06- 21","53,700","54,100","54,400","53,400","213.80K","-0.56%"
"2022- 06- 20","54,000","54,300","54,600","52,900","349.82K","0.37%"
"2022- 06- 19","53,800","53,800","53,800","53,800","","0.00%"
"2022- 06- 17","53,800","53,300","54,400","52,900","339.18K","-1.82%"
"2022- 06- 16","54,800","55,400","56,100","52,700","725.53K","0.92%"
"2022- 06- 15","54,300","53,700","54,900","51,800","611.34K","-0.73%"
"2022- 06- 14","54,700","55,100","55,500","52,800","598.61K","-2.84%"
"2022- 06- 13","56,300","56,900","57,400","56,000","399.00K","-3.60%"
"2022- 06- 10","58,400","58,900","59,700","58,400","246.74K","-1.68%"
"2022- 06- 09","59,400","58,400","59,800","58,000","543.96K","1.19%"
"2022- 06- 08","58,700","55,600","59,500","55,600","947.79K","6.15%"
"2022- 06- 07","55,300","55,300","56,400","54,800","212.79K","0.00%"
"2022- 06- 06","55,300","55,300","55,300","55,300","","0.00%"
"2022- 06- 03","55,300","56,300","56,500","55,100","185.95K","-0.18%"
"2022- 06- 02","55,400","57,300","57,400","54,700","376.02K","-2.64%"
"2022- 06- 01","56,900","56,900","56,900","56,900","","0.00%"
"2022- 05- 31","56,900","56,700","57,100","56,100","349.78K","0.53%"
"2022- 05- 30","56,600","55,400","57,700","55,100","585.41K","4.04%"
"2022- 05- 29","54,400","54,400","54,400","54,400","","0.00%"
"2022- 05- 27","54,400","54,000","55,500","53,900","327.18K","2.06%"
"2022- 05- 26","53,300","54,500","55,100","53,200","277.69K","-1.48%"
"2022- 05- 25","54,100","53,000","54,600","51,900","483.18K","2.27%"
"2022- 05- 24","52,900","53,600","54,400","52,600","331.61K","-1.12%"
"2022- 05- 23","53,500","54,500","54,600","52,200","624.60K","-1.65%"
"2022- 05- 22","54,400","54,400","54,400","54,400","","0.00%"
"2022- 05- 20","54,400","55,000","55,300","53,600","542.10K","-0.37%"
"2022- 05- 19","54,600","55,700","56,100","53,800","669.20K","-4.21%"
"2022- 05- 18","57,000","57,500","58,300","56,900","405.26K","0.00%"
"2022- 05- 17","57,000","57,500","59,000","56,000","612.85K","0.71%"
"2022- 05- 16","56,600","55,700","58,100","55,300","741.56K","3.47%"
"2022- 05- 13","54,700","54,500","55,800","54,200","295.58K","1.48%"
"2022- 05- 12","53,900","55,400","55,800","52,800","931.40K","-4.60%"
"2022- 05- 11","56,500","56,400","59,600","55,800","712.00K","-0.35%"
"2022- 05- 10","56,700","55,000","57,300","51,200","2.11M","0.89%"
"2022- 05- 09","56,200","59,500","59,800","55,300","723.03K","-6.02%"
"2022- 05- 08","59,800","59,800","59,800","59,800","","0.00%"
"2022- 05- 06","59,800","59,200","60,900","58,600","276.74K","-0.33%"
"2022- 05- 05","60,000","60,000","60,000","60,000","","0.00%"
"2022- 05- 04","60,000","60,700","60,900","59,600","191.01K","-0.17%"
"2022- 05- 03","60,100","59,800","61,600","59,300","359.65K","1.01%"
"2022- 05- 02","59,500","58,600","60,100","57,800","291.94K","0.17%"
"2022- 04- 29","59,400","59,100","60,300","58,900","252.69K","0.85%"
"2022- 04- 28","58,900","60,500","60,700","58,000","345.20K","-2.32%"
"2022- 04- 27","60,300","58,500","61,100","58,400","568.53K","0.50%"
"2022- 04- 26","60,000","59,500","60,800","59,000","562.73K","2.39%"
"2022- 04- 25","58,600","57,100","60,000","56,700","657.88K","1.74%"
"2022- 04- 24","57,600","57,600","57,600","57,600","","0.00%"
"2022- 04- 22","57,600","58,500","58,600","57,400","418.67K","-2.21%"
"2022- 04- 21","58,900","59,600","60,300","58,500","402.09K","0.00%"
