"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020- 12- 01","179,190","180,675","183,150","177,705","328.76K","0.84%"
"2020- 11- 30","177,705","176,220","179,190","174,735","176.67K","-0.17%"
"2020- 11- 29","178,000","178,000","178,000","178,000","","1.01%"
"2020- 11- 27","176,220","176,220","176,715","173,250","127.28K","1.14%"
"2020- 11- 26","174,240","175,230","179,685","173,250","343.49K","1.15%"
"2020- 11- 25","172,260","181,665","182,655","170,775","440.61K","-3.87%"
"2020- 11- 24","179,190","179,190","179,685","172,260","385.14K","0.56%"
"2020- 11- 23","178,200","183,150","184,140","176,220","403.42K","-3.41%"
"2020- 11- 22","184,500","184,500","184,500","184,500","","1.01%"
"2020- 11- 20","182,655","180,180","191,070","176,220","819.98K","2.50%"
"2020- 11- 19","178,200","179,685","180,675","174,240","287.40K","-0.83%"
"2020- 11- 18","179,685","179,685","183,645","176,220","417.45K","1.11%"
"2020- 11- 17","177,705","167,310","181,170","163,845","929.35K","4.66%"
"2020- 11- 16","169,785","153,945","170,280","152,955","1.16M","6.12%"
"2020- 11- 15","160,000","160,000","160,000","160,000","","1.01%"
"2020- 11- 13","158,400","154,935","160,875","154,440","218.43K","1.59%"
"2020- 11- 12","155,925","162,360","162,360","154,440","325.11K","-3.96%"
"2020- 11- 11","162,360","168,795","170,280","161,370","295.95K","-2.38%"
"2020- 11- 10","166,320","166,815","169,785","164,835","491.97K","3.07%"
"2020- 11- 09","161,370","162,360","167,805","159,390","429.24K","-0.39%"
"2020- 11- 08","162,000","162,000","162,000","162,000","","1.01%"
"2020- 11- 06","160,380","162,855","164,340","157,905","413.03K","-1.22%"
"2020- 11- 05","162,360","148,995","171,270","148,500","1.57M","10.07%"
"2020- 11- 04","147,510","151,965","151,965","145,530","328.75K","-1.97%"
"2020- 11- 03","150,480","143,055","150,480","143,055","687.93K","5.92%"
"2020- 11- 02","142,065","141,075","145,035","139,590","409.82K","0.05%"
"2020- 11- 01","142,000","142,000","142,000","142,000","","1.01%"
"2020- 10- 30","140,580","147,510","149,985","140,580","1.13M","-9.55%"
"2020- 10- 29","155,430","153,945","159,885","152,955","514.09K","-0.95%"
"2020- 10- 28","156,915","159,885","161,865","155,925","559.78K","-2.46%"
"2020- 10- 27","160,875","152,955","164,340","150,975","1.11M","4.17%"
"2020- 10- 26","154,440","171,270","171,765","154,440","967.26K","-10.47%"
"2020- 10- 25","172,500","172,500","172,500","172,500","","1.01%"
"2020- 10- 23","170,775","181,170","182,160","169,785","893.73K","-4.17%"
"2020- 10- 22","178,200","174,735","183,150","173,745","1.17M","0.56%"
"2020- 10- 21","177,210","178,695","183,645","175,230","1.62M","-1.92%"
"2020- 10- 20","180,675","188,100","191,565","174,240","1.77M","-3.44%"
"2020- 10- 19","187,110","196,515","200,475","185,130","1.97M","-5.74%"
"2020- 10- 16","198,495","250,470","250,470","197,010","4.44M","-22.29%"
