"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2015- 11- 16","42,900","43,600","44,000","42,650","329.14K","-4.35%"
"2015- 11- 13","44,850","42,600","44,950","42,300","400.61K","2.87%"
"2015- 11- 12","43,600","43,700","44,100","42,300","319.87K","-0.68%"
"2015- 11- 11","43,900","42,150","43,900","41,950","524.68K","3.78%"
"2015- 11- 10","42,300","46,000","46,700","41,800","1.32M","-9.42%"
"2015- 11- 09","46,700","49,300","49,700","45,250","790.03K","-4.69%"
"2015- 11- 06","49,000","46,850","49,000","46,600","705.93K","4.81%"
"2015- 11- 05","46,750","44,800","47,400","44,800","557.76K","5.06%"
"2015- 11- 04","44,500","45,150","45,350","44,200","276.05K","-1.87%"
"2015- 11- 03","45,350","45,000","46,600","44,500","257.65K","0.11%"
"2015- 11- 02","45,300","45,800","47,100","44,900","208.19K","-1.09%"
"2015- 10- 30","45,800","46,400","47,600","45,000","431.74K","-1.72%"
"2015- 10- 29","46,600","46,750","47,000","45,800","193.70K","-0.21%"
"2015- 10- 28","46,700","46,450","47,000","45,450","324.08K","0.32%"
"2015- 10- 27","46,550","46,200","47,300","45,950","571.81K","0.76%"
"2015- 10- 26","46,200","44,750","47,250","44,750","1.21M","4.05%"
"2015- 10- 23","44,400","42,000","44,600","41,500","526.09K","6.47%"
"2015- 10- 22","41,700","42,700","42,900","41,100","288.21K","-2.34%"
"2015- 10- 21","42,700","42,900","43,400","42,350","368.06K","1.67%"
"2015- 10- 20","42,000","41,100","42,550","40,900","255.43K","2.07%"
"2015- 10- 19","41,150","41,200","41,850","40,750","145.42K","-0.12%"
"2015- 10- 16","41,200","39,850","41,500","39,750","259.08K","3.26%"
"2015- 10- 15","39,900","40,300","40,800","39,700","180.32K","-1.85%"
"2015- 10- 14","40,650","40,500","40,650","39,250","249.07K","0.25%"
"2015- 10- 13","40,550","42,050","42,300","39,700","393.79K","-3.91%"
"2015- 10- 12","42,200","42,500","43,050","41,600","362.18K","-0.47%"
"2015- 10- 08","42,400","41,750","43,300","40,950","839.66K","2.29%"
"2015- 10- 07","41,450","40,600","41,450","39,950","298.06K","0.61%"
"2015- 10- 06","41,200","39,650","41,550","39,400","510.50K","4.44%"
"2015- 10- 05","39,450","39,650","39,900","39,200","140.06K","-0.50%"
"2015- 10- 02","39,650","40,250","40,250","39,300","157.86K","-1.73%"
"2015- 10- 01","40,350","39,750","40,500","39,500","206.83K","1.51%"
"2015- 09- 30","39,750","39,300","39,950","38,900","221.35K","-0.87%"
"2015- 09- 25","40,100","40,050","40,400","38,950","186.34K","1.13%"
"2015- 09- 24","39,650","38,900","40,050","37,900","355.24K","1.80%"
"2015- 09- 23","38,950","39,850","39,900","38,900","184.32K","-3.23%"
"2015- 09- 22","40,250","38,700","40,250","38,700","340.45K","4.27%"
"2015- 09- 21","38,600","39,200","39,450","38,350","292.74K","-3.26%"
"2015- 09- 18","39,900","39,450","40,100","39,100","290.31K","2.31%"
"2015- 09- 17","39,000","40,350","40,350","38,850","356.75K","-2.99%"
"2015- 09- 16","40,200","41,250","41,250","40,000","230.35K","-1.95%"
"2015- 09- 15","41,000","40,350","41,300","39,350","260.82K","1.61%"
"2015- 09- 14","40,350","42,200","42,300","40,350","272.70K","-4.27%"
"2015- 09- 11","42,150","42,000","42,500","40,800","407.02K","0.96%"
"2015- 09- 10","41,750","40,950","41,800","40,200","260.29K","0.97%"
"2015- 09- 09","41,350","41,650","41,900","40,450","407.77K","1.85%"
"2015- 09- 08","40,600","39,950","40,600","39,200","384.98K","1.63%"
"2015- 09- 07","39,950","39,050","40,350","38,950","428.09K","2.30%"
"2015- 09- 04","39,050","42,000","42,350","38,900","820.28K","-7.24%"
"2015- 09- 03","42,100","44,500","44,550","42,050","521.03K","-4.10%"
"2015- 09- 02","43,900","42,300","43,950","42,150","626.78K","2.57%"
"2015- 09- 01","42,800","43,750","45,600","42,800","823.70K","-2.73%"
"2015- 08- 31","44,000","43,600","44,150","42,450","510.16K","0.69%"
"2015- 08- 28","43,700","45,000","46,250","43,400","1.29M","-0.46%"
"2015- 08- 27","43,900","42,750","44,750","42,300","1.31M","4.03%"
