"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 06- 22","43,450","47,400","47,550","43,400","0.02K","-7.75%"
"2022- 06- 21","47,100","47,000","47,650","46,450","134.49K","0.21%"
"2022- 06- 20","47,000","48,550","48,950","46,000","0.00K","-2.79%"
"2022- 06- 19","48,350","48,350","48,350","48,350","","0.00%"
"2022- 06- 17","48,350","47,850","48,700","47,200","333.46K","-1.83%"
"2022- 06- 16","49,250","49,850","50,900","48,850","0.04K","0.92%"
"2022- 06- 15","48,800","52,000","53,000","48,600","802.48K","-7.40%"
"2022- 06- 14","52,700","52,600","53,400","51,300","342.44K","-2.04%"
"2022- 06- 13","53,800","55,900","56,100","53,700","250.02K","-5.78%"
"2022- 06- 10","57,100","56,900","57,900","56,500","129.91K","-0.70%"
"2022- 06- 09","57,500","56,900","58,200","56,300","0.01K","0.88%"
"2022- 06- 08","57,000","55,100","57,900","54,700","0.29K","4.20%"
"2022- 06- 07","54,700","56,000","56,500","54,700","110.80K","-2.32%"
"2022- 06- 06","56,000","56,000","56,000","56,000","","0.00%"
"2022- 06- 03","56,000","56,000","57,000","55,400","126.80K","0.54%"
"2022- 06- 02","55,700","56,200","56,300","55,100","96.09K","-1.59%"
"2022- 06- 01","56,600","56,600","56,600","56,600","","0.00%"
"2022- 05- 31","56,600","56,300","57,300","55,700","139.01K","0.35%"
"2022- 05- 30","56,400","56,700","57,800","56,100","181.90K","1.62%"
"2022- 05- 27","55,500","55,600","56,600","55,200","123.77K","2.02%"
"2022- 05- 26","54,400","55,100","56,200","54,200","0.00K","-1.27%"
"2022- 05- 25","55,100","54,100","56,000","52,900","172.47K","2.23%"
"2022- 05- 24","53,900","54,000","55,000","53,600","0.05K","-1.28%"
"2022- 05- 23","54,600","55,700","55,700","53,300","0.04K","-1.97%"
"2022- 05- 22","55,700","55,700","55,700","55,700","","0.00%"
"2022- 05- 20","55,700","54,800","56,200","54,600","166.19K","1.83%"
"2022- 05- 19","54,700","53,700","55,500","53,300","0.01K","-1.62%"
"2022- 05- 18","55,600","56,500","56,500","55,500","0.00K","-0.36%"
"2022- 05- 17","55,800","55,100","57,000","55,100","0.00K","1.09%"
"2022- 05- 16","55,200","54,600","56,100","54,500","228.06K","2.41%"
"2022- 05- 15","53,900","53,900","53,900","53,900","","0.00%"
